Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CMO,"Capstead Mortgage Corp",7.79,-0.08,-1.02%,7.79,7.8,475200,10/23/19
CNA,"Cna Financial Corp",45.81,0.039999999999999,+0.09%,45.81,45.39,370500,10/24/19
CNNE,"Cannae Holdings Inc",27.83,0.3,+1.09%,27.83,27.33,300700,10/23/19
CNO,"Cno Financial Group",15.7,-0.020000000000001,-0.13%,15.76,15.64,1307400,10/24/19
CNOB,"Connectone Bancorp",23.4,0.79,+3.49%,23.32,22.31,37700,10/24/19
CNS,"Cohn & Steers Inc",63.6,-0.02,-0.03%,64.25,62.88,185400,10/24/19
CNTY,"Century Casinos IN",7.95,-0.26,-3.17%,8.21,7.82,92900,10/23/19
CODI,"Compass Diversified Holdings",19.7,0.14,+0.72%,19.7,19.42,90900,10/24/19
COF,"Capital One Financial Corp",92.78,-0.010000000000005,-0.01%,93.06,91.81,1987800,10/24/19
COLB,"Columbia Banking Sys",37.98,0.009999999999998,+0.03%,38.65,37.66,284300,10/24/19
CONE,"Cyrusone Inc",74.84,-0.50999999999999,-0.68%,75.34,75,710200,10/24/19
COOP,"Mr.Cooper Group Inc",12,-0.07,-0.58%,12,11.97,537200,10/24/19
COR,"Coresite Realty Corp",122.38,0.59,+0.48%,122.55,121.24,127900,10/23/19
CORR,"Corenergy Infrastructure Trust Inc",47.26,-0.22,-0.46%,47.26,47.08,53900,10/23/19
COWN,"Cowen Group Inc",14.4,0.17,+1.19%,14.56,14.12,216900,10/23/19
CPF,"Central Pacific Financial Company",29.9,0.47,+1.60%,30.41,29.58,130600,10/23/19
CPLG,"Corepoint Lodging Inc",10.03,0.029999999999999,+0.30%,10.25,9.86,223500,10/24/19
CPSS,"Consumer Portfol",3.38,-0.09,-2.59%,3.44,3.31,6200,10/23/19
CPT,"Camden Property Trust",114.12,-0.33,-0.29%,114.12,113.34,311100,10/24/19
CPTA,"Capitala Finance Crp",8.4,0,0.00%,8.43,8.33,101400,10/23/19
CRESY,"Cresud Sacif ADR",5.11,0.01,+0.20%,5.47,5.01,177200,10/23/19
CRON,"Cronos Group Inc",8.81,0.040000000000001,+0.46%,8.87,8.77,23198,"09:40 ET"
CS,"Credit Suisse Group",12.61,0.0099999999999998,+0.08%,12.63,12.64,398,"09:39 ET"
CSFL,"Centerstate Bank Corp",24.42,-0.24,-0.97%,24.47,24.28,806800,10/24/19
CSWC,"Capital Southwest",22.41,0.03,+0.13%,22.5,22.27,39100,10/23/19
CTBI,"Community TR Bancp",43.06,-0.33,-0.76%,43.37,42.87,27600,10/23/19
CTRE,"Caretrust REIT Inc",24.41,-0.14,-0.57%,24.41,23.83,519600,10/23/19
CTT,"Catchmark Timber Trust Inc",11.54,0.02,+0.17%,11.59,11.43,190200,10/23/19
CUBE,Cubesmart,34.31,-0.030000000000001,-0.09%,34.31,34.17,1708600,10/24/19
CUBI,"Customers Bancorp",22.65,1,+4.62%,22.69,21.43,85500,10/24/19
CURO,"Curo Group Holdings Corp",12.63,0.11,+0.88%,12.63,12.42,191300,10/24/19
CUZ,"Cousins Properties Inc",38.66,0.91,+2.41%,38.66,37.48,596300,10/24/19
CVBF,"Cvb Financial Corp",20.57,-0.78,-3.65%,20.86,21.3,398800,10/24/19
CVCY,"Central Vly Cmty Bcp",20.38,0.09,+0.44%,20.5,20.22,14500,10/23/19
CWK,"Cushman & Wakefield Plc",18.72,-0.09,-0.48%,18.81,18.59,267600,10/24/19
CXP,"Columbia Property Trust Inc",20.46,0.32,+1.59%,20.47,20.06,629500,10/23/19
CXW,"Corecivic Inc",16.17,-0.029999999999998,-0.19%,16.29,15.89,1119500,10/24/19
CZNC,"Citizens Nrthn Cp",25.74,-0.1,-0.39%,26.2,25.74,3000,10/23/19
CZR,"Caesars Entertainment Corp",12.19,0.049999999999999,+0.41%,12.2,12.01,5000,"09:40 ET"
DB,"Deutsche Bank Ag",8.04,0.049999999999999,+0.63%,8.04,8.04,46130,"09:40 ET"
DCOM,"Dime Community Bncsh",22.26,0,0.00%,22.28,22.09,37200,10/23/19
DEA,"Easterly Government Properties",21.99,-0.1,-0.45%,22,21.87,405500,10/24/19
DEI,"Douglas Emmett",42.87,-0.1,-0.23%,43.06,42.45,465000,10/24/19
DFS,"Discover Financial Services",80.6,0.079999999999998,+0.10%,80.85,80.52,454,"09:39 ET"
DGICA,"Donegal Group Cl A",14.32,-0.09,-0.62%,14.4,14.26,6800,10/23/19
DLR,"Digital Realty Trust",135.28,-0.46000000000001,-0.34%,135.74,134.21,1052400,10/24/19
DOC,"Physicians Realty Trust",18.29,-0.060000000000002,-0.33%,18.29,18.09,1611000,10/24/19
DRE,"Duke Realty Corp",34.2,0.010000000000005,+0.03%,34.29,33.86,1978800,10/24/19
DRH,"Diamondrock Hospitality Company",10.16,0.06,+0.59%,10.18,10.07,1330000,10/24/19
DS,"Drive Shack Inc",4.25,0.07,+1.67%,4.29,4.14,336300,10/23/19
DX,"Dynex Capital",15.51,0.05,+0.32%,15.56,15.36,157600,10/23/19
EBSB,"Meridian Bncp",19.73,-0.039999999999999,-0.20%,19.73,18.74,603200,10/23/19
ECPG,"Encore Capital Group",33.98,0.13,+0.38%,33.98,33.59,112000,10/24/19
EEFT,"Euronet Worldwide",142.02,2.85,+2.05%,142.02,131.41,1394900,10/24/19
EFC,"Ellington Financial Llc",18.43,0.05,+0.27%,18.47,18.37,340600,10/23/19
EFSC,"Enterprises Finl Svc",43.89,-0.11,-0.25%,43.7,43.56,90000,10/24/19
EGBN,"Eagle Bancorp Inc",45.15,-0.13,-0.29%,45.15,44.79,125200,10/24/19
EGOV,"Nic Inc",20.33,0.009999999999998,+0.05%,20.34,20.24,186400,10/24/19
EGP,"Eastgroup Properties",129.25,1.07,+0.83%,129.41,127.49,164600,10/23/19
EHTH,"Ehealth Inc",61.15,1.11,+1.85%,61.17,60.03,515,"09:40 ET"
EIG,"Employers Holdings Inc",43.62,0.56,+1.30%,44.16,43.19,116500,10/23/19
ELS,"Equity Lifestyle Properties",67.81,-0.31999999999999,-0.47%,68.19,67.53,630600,10/24/19
ENVA,"Enova International Inc",20.77,-0.030000000000001,-0.14%,20.77,20.61,108600,10/24/19
EPR,"Entertainment Properties Trust",79.21,-0.30000000000001,-0.38%,79.5,79.94,301,"09:40 ET"
EPRT,"Essential Properties Realty Trust Inc",24.52,-0.09,-0.37%,24.64,24.33,589300,10/24/19
EQC,"Equity Commonwealth",31.89,-0.14,-0.44%,31.98,31.8,349100,10/24/19
EQH,"Axa Equitable Holdings Inc",22.69,0.15,+0.67%,22.69,22.31,1256800,10/23/19
EQIX,"Equinix Inc",563.59,-3.03,-0.53%,569.7,558.93,370500,10/24/19
EQR,"Equity Residential",87.29,-0.55,-0.63%,87.96,85.94,2968100,10/24/19
ERI,"Eldorado Resorts",44.31,0.41,+0.93%,44.38,42.76,1295300,10/24/19
ERIE,"Erie Indemnity Company",183.6,-2.78,-1.49%,186.46,182.29,157200,10/23/19
ESNT,"Essent Group Ltd",52.9,0.33,+0.63%,52.9,51.91,472400,10/24/19
ESRT,"Empire State Realty Trust Inc",14.48,0.06,+0.42%,14.88,14.24,650300,10/24/19
ESS,"Essex Property Trust",323.23,-5.11,-1.56%,328.34,326.13,394800,10/24/19
ETFC,"E*Trade Finl Corp",40.95,0.060000000000002,+0.15%,41.03,40.08,2471000,10/24/19
EV,"Eaton Vance Corp",45.57,0.17,+0.37%,45.57,44.41,833100,10/24/19
EVH,"Evolent Health Inc Cl A Com",7.74,-0.05,-0.64%,7.76,7.63,837900,10/24/19
EVR,"Evercore Partners Inc",73.4,0.070000000000007,+0.10%,73.69,71.06,1829900,10/24/19
EWBC,"East West Bancorp",42.94,-0.030000000000001,-0.07%,43.08,42.59,832600,10/24/19
EXPO,"Exponent Inc",64.88,0.44,+0.68%,64.88,64.15,179600,10/24/19
EXR,"Extra Space Storage Inc",115.44,-0.24000000000001,-0.21%,115.87,114.55,975900,10/24/19
EZPW,"Ezcorp Inc",5.33,-0.32,-5.66%,5.73,5.3,1274300,10/23/19
FAF,"First American Corp",62.09,1.64,+2.71%,62.85,60.95,1037,"09:40 ET"
FANH,"Fanhua Inc",25.09,0.079999999999998,+0.32%,25.15,24.83,168600,10/24/19
FBC,"Flagstar Bancorp",37.48,0.13,+0.35%,37.49,37.34,500,"09:35 ET"
FBIZ,"First Business Finan",25.25,-0.2,-0.79%,25.92,25.03,11200,10/23/19
FBNC,"First Bancorp [Nc]",37.22,-0.16,-0.43%,37.59,36.57,50200,10/23/19
FBP,"First Bancorp",10.53,0.02,+0.19%,10.58,10.34,2372700,10/24/19
FC,"Franklin Covey Company",36.23,-0.3,-0.82%,36.99,36.08,20600,10/23/19
FCBC,"First Community Bksh",32.48,-0.07,-0.22%,32.92,32.26,25700,10/23/19
FCF,"First Commonwealth Financial Corp",13.54,-0.08,-0.59%,13.56,13.5,203100,10/24/19
FCFS,"First Cash Fin Svcs",85.12,-0.88,-1.02%,85.7,85.3,564500,10/24/19
FCN,"Fti Consulting",111.56,3.4,+3.14%,112,113.75,393,"09:39 ET"
FCPT,"Four Corners Property Trust IN",28.39,-0.039999999999999,-0.14%,28.41,28.1,268300,10/24/19
FDUS,"Fidus Investment Cor",14.76,0.13,+0.89%,14.82,14.62,101000,10/23/19
FFBC,"First Finl Bncp [Oh]",23.8,-0.02,-0.08%,23.8,23.43,341200,10/24/19
FFG,"Fbl Financial Group",58.37,0.05,+0.09%,58.46,58.06,9200,10/23/19
FFIC,"Flushing Finl Corp",22.1,0.12,+0.55%,22.08,21.83,47700,10/24/19
FFIN,"First Finl Bkshs Inc",35.46,0.08,+0.23%,35.47,35.19,484500,10/23/19
FFNW,"First Financial Nort",14.14,-0.14,-0.98%,14.3,14.08,8800,10/23/19
FG,"Fgl Holdings",8.64,-0.01,-0.12%,8.68,8.6,228500,10/23/19
FHB,"First Hawaiian Inc",28.08,-0.060000000000002,-0.21%,28.27,27.88,387000,10/24/19
FHN,"First Horizon National Corp",15.95,-0.09,-0.56%,16.02,15.85,2766400,10/24/19
FIBK,"First Interstate Ban",43.24,0.29,+0.68%,43.24,42.31,189100,10/24/19
FII,"Federated Investors",31.8,0.17,+0.54%,31.89,31.46,283100,10/23/19
FISI,"Financial Institut",30.64,-0.06,-0.20%,30.85,30.54,22600,10/23/19
FITB,"Fifth Third Bncp",28.32,0.050000000000001,+0.18%,28.41,27.98,5324400,10/24/19
FLIC,"First of Long Isla",23.22,-0.01,-0.04%,23.23,23.04,19600,10/23/19
FMBI,"First Midwest Bncp",20.48,-0.02,-0.10%,20.55,20.06,682700,10/24/19
FMNB,"Farmers Natl Banc Cp",14.78,-0.17,-1.14%,15.05,14.67,43900,10/23/19
FNB,"F.N.B. Corp",12.14,-0.029999999999999,-0.25%,12.19,12.09,2338000,10/24/19
FNF,"Fidelity National Financial",46.24,0.39,+0.85%,46.27,46,751,"09:39 ET"
FNHC,"Federated Natl Hldg",15.38,0.46,+3.08%,15.71,14.72,108500,10/23/19
FNLC,"First Bancorp Inc",28.12,-0.07,-0.25%,28.37,27.96,6600,10/23/19
FOCS,"Focus Financial Partners Inc Cl A",22.23,0.1,+0.45%,22.23,22,245800,10/23/19
FOR,"Forestar Group Inc",18.13,-0.2,-1.09%,18.13,18.2,131900,10/24/19
FPI,"Farmland Partners Inc",6.59,-0.08,-1.20%,6.59,6.66,53100,10/23/19
FR,"First Industrial Realty Trust",40.86,0.34,+0.84%,40.95,40.18,515100,10/24/19
FRBK,"Republic First Bcp",4.19,0.02,+0.48%,4.22,4.15,39200,10/23/19
FRC,"First Republic Bank",106.25,-0.45999999999999,-0.43%,106.57,105.81,943100,10/24/19
FRME,"First Merchants Corp",37.74,-1.1,-2.83%,37.74,38.33,132700,10/23/19
FRT,"Federal Realty Investment Trust",139.59,-0.46000000000001,-0.33%,140.18,138.85,323300,10/24/19
FSB,"Franklin Financial Network Inc",31.09,0.18,+0.58%,31.13,30.55,75500,10/23/19
FSK,"FS KKR Capital Corp",5.8,0.0099999999999998,+0.17%,5.8,5.77,1202200,10/24/19
FSP,"Franklin Street Properties",8.71,-0.09,-1.02%,8.71,8.71,229400,10/24/19
FTAI,"Fortress Transportation & Infra",16.02,0.12,+0.75%,16.05,15.77,93800,10/23/19
FTDR,"Frontdoor Inc",47.62,0.57,+1.21%,47.62,46.01,865000,10/24/19
FULT,"Fulton Financial Cor",16.74,-0.09,-0.53%,16.77,16.38,1305900,10/24/19
